корпус,язык,версия,LOC,функций,коммитов,авторов,первый_коммит,последний,источник
linux/kernel,C,5.10.269,478632,10876,,,,,https://kernel.org
linux/fs,C,5.10.269,1776534,26941,,,,,https://kernel.org
linux/mm,C,5.10.269,184044,3821,,,,,https://kernel.org
postgres/backend,C,HEAD,1394960,16429,65380,60,1996-07-09,2026-09-14,https://github.com/postgres/postgres
sqlite,C,3.46.0,371628,3187,,,,,https://sqlite.org
coreutils/src,C,9.4,125134,1349,,,,,https://gnu.org/software/coreutils
cutlet,C,HEAD,20856,1820,,,,,https://github.com/s3thi/cutlet
go/src/go,Go,1.27.0,64524,1793,,,,,https://go.dev
net/http,Go,1.27.0,50542,1483,,,,,https://go.dev
encoding,Go,1.27.0,50332,1263,,,,,https://go.dev
hum1izer,Go,HEAD,22544,328,,,,,https://github.com/haiodo/hum1izer
MemberHub,Go,HEAD,12522,403,,,,,https://github.com/YazaiHu/MemberHub
eclipse.jdt.core,Java,HEAD,1144512,86102,27900,248,2001-05-02,,https://github.com/eclipse-jdt/eclipse.jdt.core
eclipse.platform.ui,Java,HEAD,1190812,71300,44467,717,2001-05-02,,https://github.com/eclipse-platform/eclipse.platform.ui
eclipse.jdt.ui,Java,HEAD,1141626,67651,31210,262,2001-05-02,,https://github.com/eclipse-jdt/eclipse.jdt.ui
eclipse.platform,Java,HEAD,933766,51956,45381,423,2001-05-02,2026-09-10,https://github.com/eclipse-platform/eclipse.platform
eclipse.platform.swt,Java,HEAD,655094,33223,32106,282,2001-05-11,2026-09-11,https://github.com/eclipse-platform/eclipse.platform.swt
org.eclipse.rcptt,Java,HEAD,781582,42476,2218,40,2014-06-02,2025-11-08,https://github.com/eclipse-rcptt/org.eclipse.rcptt
dltk.core,Java,HEAD,566830,27905,6512,37,2007-02-22,2025-09-02,https://github.com/eclipse-dltk/dltk.core
dltk.tcl,Java,HEAD,139750,7429,2856,13,2007-02-22,2025-09-02,https://github.com/eclipse-dltk/dltk.tcl
rcpml,Java,CVS head,17062,1082,,,2005-06-15,2008-03-12,https://github.com/xored/rcpml
cpython/Lib,Python,main,428048,61210,,,,,https://github.com/python/cpython
ripgrep,Rust,15.2.0,68862,2953,,,,,https://github.com/BurntSushi/ripgrep
tokio,Rust,1.53.1,121636,7157,,,,,https://github.com/tokio-rs/tokio
slopos,Rust,develop,494380,17540,,,,,https://github.com/SlopLabs/slopos
codeprism,Rust,main,135198,4376,,,,,https://github.com/rustic-ai/codeprism
tenniarb,Swift,HEAD,45972,1550,374,4,2017-05-08,2026-08-16,https://github.com/haiodo/Tenniarb
ace-ts,TypeScript,HEAD,11214,209,,,,,https://github.com/kayba-ai/ace-ts
