год,функций,cc50,cc90,cc95,sloc50,sloc90,depth95,cc_gt10,depth_gt4,sloc_gt60
2007,19050,1,5,7,4,19,3,2.34,1.69,0.86
2008,23083,1,5,7,4,19,3,2.35,1.85,0.97
2009,25994,1,5,7,4,20,3,2.29,1.80,0.98
2010,27165,1,5,7,4,19,3,2.21,1.73,0.91
2011,27634,1,5,7,4,19,3,2.20,1.72,0.91
2012,27796,1,5,7,4,19,3,2.19,1.72,0.92
2013,27875,1,5,7,4,19,3,2.16,1.68,0.91
2014,27886,1,5,7,4,19,3,2.17,1.69,0.92
2015,28001,1,5,7,4,19,3,2.15,1.67,0.91
2016,28223,1,5,7,5,20,3,2.16,1.66,0.91
2017,28101,1,5,7,5,20,3,2.18,1.65,0.92
2018,28104,1,5,7,5,20,3,2.18,1.63,0.90
2019,27949,1,5,7,5,20,3,2.17,1.62,0.88
2020,27904,1,5,7,5,19,3,2.17,1.61,0.84
2021,27904,1,5,7,5,19,3,2.17,1.61,0.84
2022,27904,1,5,7,5,19,3,2.17,1.61,0.84
2023,27905,1,5,7,5,19,3,2.17,1.61,0.84
2024,27905,1,5,7,5,19,3,2.17,1.61,0.84
2025,27905,1,5,7,5,19,3,2.17,1.61,0.84
