год,функций,cc50,cc90,cc95,sloc50,sloc90,depth95,cc_gt10,depth_gt4,sloc_gt60
2001,1537,1,4,6,3,16,3,0.91,1.11,0.26
2002,4977,1,5,8,5,22,3,2.53,1.85,1.29
2003,2512,1,5,7,3,19,3,2.11,0.92,0.96
2004,5611,1,5,7,4,19,3,1.98,2.07,0.87
2005,12818,1,5,8,5,21,3,2.71,1.93,0.98
2006,5381,1,5,7,5,20,3,2.23,1.49,0.78
2007,5927,1,5,7,5,21,3,2.46,1.64,0.94
2008,6530,1,5,7,5,20,3,2.31,1.58,0.86
2009,10691,1,5,7,4,20,4,2.06,2.14,0.84
2010,7565,1,6,8,5,27,3,2.45,0.93,2.04
2011,17544,1,5,7,5,20,3,2.18,1.67,0.80
2012,5167,1,4,6,4,21,3,1.45,0.68,0.74
2013,8358,1,5,7,5,20,3,2.09,1.56,0.74
2014,5299,1,4,6,4,21,3,1.53,0.70,0.79
2015,17607,1,5,7,5,20,3,2.20,1.70,0.86
2016,7294,1,6,8,5,29,3,2.59,0.86,2.21
2017,12217,1,5,7,5,20,3,1.92,1.92,0.97
2018,12262,1,5,7,5,20,3,1.91,1.94,0.99
2019,8912,1,5,7,5,20,3,1.93,1.31,0.72
2020,8874,1,5,7,5,20,3,1.95,1.23,0.73
2021,13469,1,5,6,5,20,3,1.69,1.46,0.99
2022,8877,1,5,7,5,20,3,1.96,1.23,0.73
2023,1130,1,3,5,4,12,2,1.24,0.44,0.80
2024,49444,1,5,7,5,21,3,1.74,1.10,0.96
2025,52034,1,5,7,5,22,3,1.77,1.08,1.03
2026,51956,1,5,7,5,22,3,1.80,1.09,1.04
