год,функций,cc50,cc90,cc95,sloc50,sloc90,depth95,cc_gt10,depth_gt4,sloc_gt60
2001,18285,1,5,8,5,20,2,2.83,1.06,1.18
2002,20841,1,6,8,5,20,3,3.25,0.97,1.25
2003,22535,1,6,9,4,21,3,3.69,1.14,1.54
2004,30334,1,6,9,7,21,3,3.80,1.07,1.58
2005,33103,1,7,10,7,22,3,4.41,1.19,1.92
2006,35901,1,7,10,7,23,3,4.61,1.34,2.06
2007,51734,1,6,9,4,19,2,3.68,1.07,1.61
2008,46697,1,6,10,6,21,3,4.42,1.36,1.97
2009,48360,1,6,10,6,21,3,4.47,1.42,2.01
2010,53342,1,6,10,6,21,3,4.45,1.39,2.00
2011,53733,1,6,10,6,21,3,4.49,1.40,2.03
2012,51929,1,7,10,6,22,3,4.65,1.45,2.12
2013,50989,1,7,10,6,22,3,4.75,1.49,2.19
2014,37093,1,7,10,6,24,3,4.90,1.45,2.50
2015,32485,1,7,11,7,25,3,5.13,1.58,2.71
2016,32304,1,7,11,7,24,3,5.11,1.61,2.62
2017,31528,1,7,11,7,25,3,5.12,1.55,2.50
2018,31462,1,7,11,7,26,3,5.01,1.46,2.50
2019,32028,1,7,11,7,26,3,5.03,1.38,2.49
2020,30272,1,7,11,7,27,3,5.31,1.48,2.64
2021,30551,1,7,11,7,27,3,5.28,1.46,2.63
2022,30814,1,7,11,7,27,3,5.22,1.43,2.64
2023,30833,1,7,11,7,27,3,5.21,1.42,2.63
2024,31386,1,7,11,7,27,3,5.15,1.40,2.60
2025,32495,1,7,10,6,26,3,4.96,1.34,2.46
2026,33228,1,7,10,6,26,3,4.88,1.31,2.40

[exited with code 0]
