год,функций,cc50,cc90,cc95,sloc50,sloc90,depth95,cc_gt10,depth_gt4,sloc_gt60
1996,2984,2,8,12,13,48,3,6.90,1.71,6.13
1997,3264,3,9,14,14,55,4,8.33,2.30,8.33
1998,3461,3,10,15,14,54,4,8.96,2.72,8.12
1999,3762,3,10,15,14,53,4,9.33,2.66,7.89
2000,4213,2,10,17,15,53,4,9.57,3.16,7.86
2001,4558,2,11,17,15,56,4,10.33,3.05,8.58
2002,4876,2,10,17,14,54,4,9.95,2.67,8.35
2003,5450,2,11,17,14,56,4,10.37,2.59,8.77
2004,5926,2,11,17,15,57,4,10.45,2.63,8.93
2005,6399,2,11,17,15,57,4,10.60,2.77,8.88
2006,6818,2,11,17,15,57,4,10.37,2.48,8.76
2007,8092,3,12,19,15,60,4,12.53,2.58,9.71
2008,8477,3,12,19,15,59,4,12.29,2.49,9.57
2009,8771,3,12,19,15,60,4,12.58,2.60,9.85
2010,9166,3,12,19,15,59,4,12.52,2.56,9.74
2011,9865,3,12,19,15,61,4,12.56,2.51,10.01
2012,10094,3,13,19,15,61,4,12.62,2.56,10.08
2013,10475,3,13,19,15,61,4,12.90,2.69,10.21
2014,11175,3,13,19,15,61,4,12.90,2.77,10.25
2015,11773,3,12,19,15,61,4,12.75,2.73,10.15
2016,12300,3,13,19,16,62,4,12.83,2.80,10.29
2017,13213,3,12,19,16,61,4,12.46,2.71,10.12
2018,13639,3,12,19,15,61,4,12.64,2.71,10.16
2019,14062,3,12,19,16,61,4,12.80,2.69,10.06
2020,14635,3,12,19,16,60,4,12.65,2.71,9.94
2021,15184,3,12,18,16,61,4,12.55,2.72,10.02
2022,14602,3,13,19,17,62,4,13.30,2.97,10.55
2023,14947,3,12,19,17,62,4,13.15,2.93,10.42
2024,15427,3,12,19,17,62,4,13.04,2.88,10.37
2025,16070,3,12,19,16,61,4,12.89,2.83,10.24
2026,16429,3,12,19,16,62,4,13.03,2.84,10.54
