год,функций,cc50,cc90,cc95,sloc50,sloc90,depth95,cc_gt10,depth_gt4,sloc_gt60
2014,35857,1,4,6,4,16,2,1.74,0.75,0.84
2015,36554,1,4,6,4,16,2,1.70,0.72,0.85
2016,40809,1,4,6,4,16,2,1.86,0.83,0.89
2017,42042,1,4,6,4,16,2,1.84,0.80,0.88
2018,42162,1,4,6,4,16,2,1.84,0.80,0.88
2019,42166,1,4,6,4,16,2,1.83,0.81,0.87
2020,42152,1,4,6,4,16,2,1.83,0.80,0.88
2021,42175,1,4,6,4,16,2,1.83,0.80,0.87
2022,42180,1,4,6,4,16,2,1.83,0.80,0.87
2023,42171,1,4,6,4,16,2,1.83,0.80,0.88
2024,42222,1,4,6,4,16,2,1.83,0.80,0.88
2025,42476,1,4,6,4,16,2,1.81,0.78,0.87
